,id,scrape_id,last_scraped,source,name,host_id,host_since,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,year
0,397657.0,20240629155744.0,2024-06-29,city scrape,Charming apartment in central Oslo,1986686.0,2012-03-22,71.0,regularhost,1.0,1.0,"['email', 'phone']",Grünerløkka,59.92634,10.75088,Entire home/apt,2.0,1.0,1000.0,3.0,30.0,0.0,0.0,0.0,15.0,21.0,4.0,0.0,f,1.0,1.0,0.0,0.0,2012
1,503782.0,20240629155744.0,2024-06-30,city scrape,Central Grünerløkka,2484478.0,2012-05-28,100.0,superhost,1.0,1.0,"['email', 'phone']",Grünerløkka,59.92428,10.75828,Entire home/apt,4.0,3.0,1950.0,4.0,30.0,23.0,26.0,26.0,26.0,28.0,10.0,0.0,f,1.0,1.0,0.0,0.0,2012
2,613873.0,20240629155744.0,2024-06-30,city scrape,Loft in a stable,1272535.0,2011-10-10,43.0,regularhost,1.0,1.0,"['email', 'phone']",Grünerløkka,59.92132,10.75942,Entire home/apt,2.0,1.0,1600.0,1.0,1125.0,0.0,0.0,23.0,298.0,25.0,5.0,1.0,f,1.0,1.0,0.0,0.0,2011
3,724117.0,20240629155744.0,2024-06-29,city scrape,Central Oslo / St. Hanshaugen / Quiet / Cosy,2425978.0,2012-05-21,33.0,regularhost,1.0,1.0,"['email', 'phone']",St. Hanshaugen,59.93254342773419,10.739992917771067,Entire home/apt,4.0,3.0,1700.0,2.0,30.0,12.0,15.0,15.0,195.0,2.0,2.0,0.0,f,1.0,1.0,0.0,0.0,2012
4,869173.0,20240629155744.0,2024-06-29,city scrape,Bright 72 m2 apartment with amazing views,4578764.0,2013-01-03,100.0,regularhost,1.0,1.0,"['email', 'phone']",St. Hanshaugen,59.92017,10.74694,Entire home/apt,2.0,1.0,1600.0,2.0,1125.0,27.0,53.0,83.0,358.0,16.0,3.0,0.0,f,1.0,1.0,0.0,0.0,2013
5,1231033.0,20240629155744.0,2024-06-29,city scrape,Idyllic villa 5km from the center,6713243.0,2013-06-03,29.0,regularhost,1.0,2.0,"['email', 'phone']",Nordre Aker,59.96705,10.76354,Entire home/apt,10.0,5.0,2800.0,4.0,1125.0,4.0,4.0,4.0,4.0,20.0,2.0,0.0,f,1.0,1.0,0.0,0.0,2013
6,1307404.0,20240629155744.0,2024-06-30,city scrape,"Spacious & central, superb kitchen!",7063146.0,2013-06-23,0.0,regularhost,1.0,1.0,"['email', 'phone']",Gamle Oslo,59.91561,10.7741,Entire home/apt,3.0,2.0,1200.0,3.0,1125.0,29.0,56.0,86.0,358.0,19.0,2.0,0.0,f,1.0,1.0,0.0,0.0,2013
7,1393357.0,20240629155744.0,2024-06-29,city scrape,Briskeby Bliss,7490536.0,2013-07-15,52.0,regularhost,1.0,1.0,"['email', 'phone']",Frogner,59.92281960382731,10.712517104893497,Entire home/apt,2.0,1.0,2241.0,2.0,30.0,19.0,49.0,79.0,80.0,0.0,0.0,0.0,t,1.0,1.0,0.0,0.0,2013
8,1449574.0,20240629155744.0,2024-06-29,city scrape,Sjarm på Kampen: nyoppusset (2023) med balkong!,7779409.0,2013-07-28,33.0,regularhost,1.0,1.0,"['email', 'phone']",Gamle Oslo,59.9133921,10.7823549,Entire home/apt,2.0,1.0,1750.0,3.0,230.0,0.0,0.0,2.0,104.0,5.0,1.0,0.0,f,1.0,1.0,0.0,0.0,2013
9,1459050.0,20240629155744.0,2024-06-29,city scrape,Modern design Bislet flat w balcony,584177.0,2011-05-13,61.0,regularhost,1.0,1.0,"['email', 'phone']",St. Hanshaugen,59.92968,10.73441,Entire home/apt,2.0,1.0,907.0,2.0,1125.0,4.0,9.0,31.0,306.0,52.0,8.0,1.0,f,1.0,1.0,0.0,0.0,2011
